T,o,h,l,c,v
1768568399999,3301.4,3313.9,3299.8,3307.7,4385.8253
1768571999999,3308,3310,3296.2,3307.2,5238.2488
1768575599999,3307.2,3318.8,3291.2,3294,19325.1265
1768579199999,3294.1,3312,3253.7,3264.7,87102.5268
1768582799999,3264.7,3287.8,3260.6,3279.3,16727.749
1768586399999,3279.4,3286.8,3266.5,3284.5,12696.0569
1768589999999,3284.5,3288,3278,3279.2,5217.9843
1768593599999,3279.2,3280,3270,3277.4,9011.4537
1768597199999,3277.4,3293.8,3265.1,3293.2,18780.7868
1768600799999,3293.2,3299,3287.9,3294.6,8651.0847
1768604399999,3294.6,3295,3283,3294.3,6780.4672
1768607999999,3294.4,3299.8,3292.5,3296.4,7354.8784
1768611599999,3296.4,3297.4,3290.1,3292.6,4111.785
1768615199999,3292.6,3295.7,3288.3,3290.6,3180.6481
1768618799999,3290.7,3292.9,3283.9,3292.5,3741.185
1768622399999,3292.6,3292.6,3287.8,3289.2,2929.5176
1768625999999,3289.1,3292.3,3286,3291.8,3410.121
1768629599999,3291.8,3294.2,3289.4,3291.4,1265.3385
1768633199999,3291.4,3293.3,3287.4,3291.1,693.8021
1768636799999,3291,3292.4,3287.4,3290.8,4569.6981
